No,중요도,질문분야,질문,본문
39,★★★★,제품/시공관련,타업체에서는 열차단 측정기를 보여주며 자사제품이 루마보다 차단력이 우수하다고 홍보하는데 이것이 사실인가요?,"많은 썬팅 판매 혹은 시공업체들이 임의로 제조된 측정기로 루마필름과 자사제품을 비교하며 자사제품의 열차단력이 좋다고 홍보하는데 이것은 명백히 과장된 혹은 왜곡된 정보입니다. 그들이 주장하는 정보의 오류를 아래와 같이 알려드리오니 소비자들께서는 과장 혹은 거짓광고에 현혹되어 피해를 입으시는 일이 없도록 유의하시길 바랍니다. 1) 태양열은 태양에너지의 3요소인 가시광선, 자외선, 적외선에 모두 분포되어 있는데, 그들이 보여주는 측정기는 가시광선, 자외선, 적외선에 포함된 태양열을 모두 측정할 수 있는 측정기가 아닌 IR(Infrared), 즉 적외선 측정기입니다. 자외선(1~360 나노미터), 가시광선(361~779 나노미터), 적외선(780~2,500 나노미터)은 각각 파장영역대가 다르며, 태양에너지(열)은 자외선에 3%, 가시광선에 44%, 적외선에 53%가 분포되어 있습니다. 그러므로 태양에너지에 포함된 열 차단율을 정확하게 측정하기 위해서는 자외선, 가시광선, 적외선 영역을 모두 측정가능한 측정기로 측정해야 하는데 시중에 나와있는 측정기들은 이처럼 1~2,500 나노미터라는 넓은 파장영역을 측정할 수 있는 측정기가 없습니다. 다시 말하자면, 측정기를 보여주며 열차단력을 홍보하는 대다수 업체들이 IR(적외선)만을 측정할 수 있는 측정기로 측정한 값을 소비자에게는 열 차단력이라고 왜곡된 정보를 제공하며 자기 고객으로 만드려는 행위입니다. 2) 태양열은 TSER(Total Solar Energy Rejected : 총 태양 에너지 차단율)을 측정한 값이며 이러한 총 태양 에너지 차단율 데이터는 태양광이 내리쬐는 것과 유사한 조건을 갖춘 공인 실험실에서 얻어진 값만이 정확한 데이터입니다. 시중의 측정기들은 300~1,050 나노미터밖에 측정할 수 없으므로 자외선, 가시광선, 적외선 영역이 모두 포함된 전체 파장대 (1~2,500 나노미터)가 측정된 값을 나타낼 수 없습니다. 3) 미국 버지니아주 마틴스빌 공장에 위치한 루마의 공식 실험실(Official Lab)은 ISO9001 및 2008등 국제규격과 IWFA(국제 윈 도우 필름협회)에서 공식 인증된 실 험실 조건을 갖추고 데이터를 제공하기 때문에 세계적으로 공신력을 얻고 있습니다. 그러나 시중 측정기들은 이러한 공신력 을 얻지 못하는 기기들입니다. 4) TSER(총 태양 에너지 차단율%)은 실험실에서 얻어진 데이터를 토대로 로렌스 공식에 대입된 수퍼 컴퓨터에 의하여 수치가 얻어집니다. 이 데이터는 특히 필름이 품고 있던 잠열이 차량 내부로 들어오는 열 차단 손실율이 계산되어 정확한 태양열 차단수치가 계산되는 것입니다. 일반적으로 차량용 필름의 최대 TSER은 70%이며, 건물용 필름(외부용)은 구조상 80%를 상회하기도 합니다. 그러므로 열차단율이 80%가 넘는다고 홍보하는 업체의 제품을 선택하실 경우에는 과장광고일 가능성이 매우 높으므로 선택에 신중을 기하시길 바랍니다."
38,★★★★,제품/시공관련,루마썬팅필름 정품으로 시공 후 창마다 로고가 다 들어가 있지 않는 이유는?,"*로고 가 각 창문마다 들어가지 않은 이유는 다음과 같습니다. 1. 필름면에 프린팅되는 로고는 필름 롤의 좌우측 35cm 지점에 두 줄로 표시되지만, 필름 재단을 위해 패턴 ( 창유리 크기에 맞게 만들어진 플라스틱이나 철판모형 ) 의 위치에 따라서 로고와 로고 사이에 들어갈 경우 어떤 창유리에는 로고가 들어가지 않을 수도 있습니다 . 2. 또한 프린팅 기계는 구조상 필름 롤의 처음과 끝의 일정 부분이 프린팅되지 않는데, 처음과 끝부분에서 재단이 되면 로고가 들어가지 않을 수 있습니다 . 루마의 정품인식은 필름면의 로고 표시 유무에 따라서만 정품여부가 결정되어지지 않습니다. 정품은 루마 인증업체에서의 시공과 함께 보증서만으로도 충분히 정품여부를 확인할 수 있습니다. 로고 및 QR코드는 단지 정품확인을 위한 필수요건이 아닌 보조수단이기 때문입니다."
37,★★★★,제품/시공관련,루마썬팅 후 창문에 있는 QR코드가 인식이 잘 안되는 이유는?,"* QR 코드인식이 잘 되지 않는 이유는? 루마코리아에서는 정품사용이라는 신뢰를 제공하기 위해 썬팅필름에 QR마크를 표시하고 있습니다만, QR코드가 원래 투과성이 있는 썬팅필름 표식에는 시공된 면의 굴곡과 빛의 반사 등의 사유로 인식이 안 될 수가 있습니다 . 따라서 QR코드 인식여부에 따라 정품여부가 결정되어지지 않습니다. QR코드 인식여부와 관계없이 루마 인증업체에서의 시공과 보증서 발급만으로도 충분히 정품여부를 확인할 수 있습니다. QR코드는 단지 정품확인을 위한 필수요건이 아닌 보조수단이기 때문입니다."
36,★★★★★,기타관련,올바른 윈도우 필름을 고르는 10가지 요령,"올바른 윈도우 필름을 고르는 10가지 요령 01 필름의 제조원 및 브랜드를 정확히 확인하였는가? 필름 제조원은 품질 확인을 위해 대단히 중요합니다. 브랜드는 있지만 제조원이 없는 경우가 허다합니다. 제조원이 없는 브랜드는 절대적으로 의심하셔도 좋습니다. 제조원 실체 확인을 위해 제조사의 홈페이지를 확인하는 것도 하나의 요령입니다. (루마 제조원 EASTMAN 홈페이지 : http://www.eastman.com ) 02 제조원 및 판매원의 품질보증이 제대로 이루어지는가? 품질보증과 관련하여 수입품의 경우 제조원의 한국지사가 설립되어있는 브랜드는 믿을 수 있습니다. 국내에 지사가 없는 경우나 공급, 판매상이 브랜드를 만들어 자체적으로 보증을 하는 경우는 믿을 수 없습니다. 공급업체가 없어지면 보증은 무의미 해집니다. (루마필름 한국지사 : (주)씨피에프 02-2213-1543) 03 다양한 제품의 선택이 가능한가? 개인마다 주어진 환경이 다르듯이 필름도 거기에 맞게 다양해야 합니다. 운전자의 환경에 적합한 제품의 선택은 편의와 안전을 위해서 대단히 중요합니다. (다양한 투과율, 전면용, 안전보안용, 프라이버시 보호용, 솔라콘트롤용 등) 04 필름의 선명도는 좋은가? 필름의 선명도는 안전과 직결된 부분으로 꼭 확인해야 합니다. 일반적으로 정면에서 보아 굴절이 없는 것이 좋습니다. 05 필름의 기능이 충실하며 내구성에 대한 정보는 있는가? 윈도우 필름의 초기 성능은 외견상 차이가 없어 보입니다. 그러나 실제 사용 시 시간이 지남에 따라 많은 편차를 보입니다. 초기 성능이 급격히 하락하지 않고 그대로 유지되는 내구성능과 이에 관한 충분한 정보를 제공하는 제품이 믿을 수 있습니다. (내구성능 확인은 필름의 접착제를 제거한 후 차단력을 측정합니다.) 06 필름 접착제의 안전성 및 긁힘 방지코팅의 내구성은 충분한가? 필름 접착제는 선명도와 아주 밀접한 관계가 있습니다. 오랜기간이 경과되어도 변형되지 않아야 합니다. 또한 필름의 성능유지를 위한 흠집 방지코팅의 안정성도 중요합니다. 07 전문가에 의한 전문시공기술 적용이 가능한가? 아무리 좋은 필름도 전문 시공기술자의 전문시공이 중요합니다. 전문적인 열선유리 한 장 시공, 곡면을 가진 전면 유리접착과 같은 전문 틴팅은 교육을 받고 훈련되어진 전문가에 의해서 시공될 때 제대로 된 기능을 발휘할 수 있습니다. 08 윈도우 틴팅 전문작업장을 지정점마다 필수적으로 갖추고 있는가? 윈도우 필름은 깨끗한 실내 전문작업장에서의 시공이 기본입니다. 출장 시공이나 야외에서의 시공은 필름의 시공하자나 차량의 안전에 문제가 발생할 수 있습니다. (루마 지정전문점은 실내 작업장에서 시공합니다.) 09 본인 판단하에 본인 환경에 적합한 필름을 선택하세요. 기본적으로 자신의 환경에 적합한 필름의 선택이 제일 중요합니다. 작업자나 전문가는 단지 선택에 도움을 주기위한 조언가로서 역할을 할 뿐 최종 선택은 항상 고객님의 몫입니다. 10 법규에 합당한 제품인가? 법규정을 준수하는 것이 안전을 위해 가장 좋습니다. (법규 참조)"
35,★★★★★,제품/시공관련,루마가 세계 판매1위 썬팅필름 전문 브랜드인데 다른 썬팅브랜드와 비교해서 어떤 점이 다른가요?,"질문처럼 루마썬팅필름은 세계시장에서 가장 많이 사랑받는 전문브랜드입니다. 오직 썬팅필름만 제조하는 전문성과 오랜 역사, 노하우, 테크놀로지, 썬팅필름의 기초가 되는 베이스 필름생산으로부터 원스톱 공정으로 완제품을 생산하는 유일한 썬팅제조원입니다. 수많은 썬팅브랜드들과 루마 썬팅 필름은 무엇이 다를까요? 첫번째, 미국 이스트만 소속 세계 최대 윈도우필름 제조원입니다. 두번째, 60년이 넘는 경험과 노하우, 기술을 집약한 썬팅필름 전문제조원입니다. 세번째, 윈도우필름(선팅, 틴팅, 썬팅) 생산을 위한 전문성을 갖추고 정확한 품질을 생산하고 있습니다. 네번째, 오리지널 메이드인 USA 제품으로 믿을 수 있습니다. 다섯번째, 제조원으로부터 정확한 품질관리가 이루어지고 있습니다. 여섯번째, 인증된 딜러를 통해서만 공급되어지고 있고 훈련된 시공인들로부터 전문시공되고 있습니다. 일곱번째, 모든 윈도우필름 메이커들에게 기초 재료들을 공급하고 있습니다. 여덟번째, 원스톱 공정으로 완제품을 생산하는 세계 유일의 썬팅필름 제조원입니다. 아홉번째, 지금도 메이저 차량의 유리에 사용되어지고 있습니다. 열번째, 고객으로부터 시공자에게까지 모두 다 만족할 수 있는 품질을 갖추고 있습니다. 열한번째, 첨단 IT 기술이 적용되는 자동차에 최적화된 제품을 갖추고 있습니다. 열두번째, 세계판매 1위의 제품으로, 세계인들로부터 가장 많이 사랑받고 있는 썬팅브랜드입니다."
34,★★★★★,제품/시공관련,로고가 흐릿하게 나오는 이유는 무엇인가요?,"루마썬팅필름에는 정품임을 표시하기 위한 보조수단으로 썬팅필름 표면에 로고와 함께 제품정보를 표시하고 있습니다. *QR코드가 흐릿한 이유 모든 윈도우 필름면에는 하드코팅이 되어 있습니다. 그 매끄러운 하드코팅위에 로고를 인쇄하게 되는데 근본적으로 그 로고는 영구적으로 안착이 되지 않습니다. 로고는 프린트 하는 과정에서 필름면에 데미지를 주지 않도록 조정하게 되는데 이때 흐릿하게 인쇄될 여지가 높으며 특히 차량유리에 썬팅 필름을 부착하면서 도구를 이용해 밀착시키는 과정에서 프린트의 로고가 흐릿해지는 경우도 발생할 수 있습니다 . 더우기 틴 팅필름은 운전자의 시야에 방해가 되어지지 않도록 해야하기 때문에, 썬팅면에 새겨진 로고를 경우에 따라 지울 수 있도록 만들어지고 있습니다. 이에따라 루마 공식 인증점에서 시공하신 후 수기(手記)가 아닌, 컴퓨터로 출력된 전자 보증서를 받으셨다면 정품시공으로 인증 받은 것이며 시공에 관련된 모든 데이터들은 본사의 DB(데이터베이스)에 저장되어 관리가 됩니다. 로고가 흐릿하거나 전혀 없더라도 루마인증점에서의 시공과 보증서 발급만으로도 충분히 정품인증과 보증서비스를 받을 수 있습니다. 루마인증점은 루마코리아에서 인증된 정품취급 업체이며 엄격한 관리시스템으로 제품관리를 하고 있습니다."
33,★★★★★,제품/시공관련,썬팅필름 시공 후 겨울철에는 어떤 관리요령이 있나요?,"l 차량썬팅후 겨울철에 주의해야 할 것 겨울철엔 썬팅된 창유리에도 관심을 가져야 합니다 겨울철 차안의 온도를 높이기 위해 차량 이동중 실내에 히터를 켜게 됩니다 . 데워진 난방열기는 바깥의 차가운 공기와 만나면서 차유리 내부면에 김서림을 발생시키죠 . 김서림이 지속되다보면 차유리 표면에서 결로가 발생하게 되구요 . 결로는 일반 건물유리에서도 발생하지만 자동차유리에서도 발생합니다 . 습기와 결로로 가득한 실내 ↑ 결로와 성에 방지에 신경써야! 결로가 지속된 상태에서 차량운행을 중지하고 장시간 주차를 하게되면 창유리에 맺혔던 습기가 아래로 흘러내리면서 창틀 고무가스켓에 고이게 됩니다 . 결국 아래로 흘러내린 결로는 차가운 공기로 인해 고무가스켓에 얼어붙게 됩니다 . 바깥유리는 물론 차량내부 창틀아래 가스켓에도 결빙이 되어 있습니다 . 차량의 바깥쪽 유리의 결빙은 육안으로 금방 알 수 있지만 , 차량 내부에서는 유리창쪽만 결빙이 보이지 않으면 아랫쪽이 얼어붙어 있다는 것을 눈치챌 수 없습니다 . 이처럼 창틀 아랫쪽의 결빙은 눈으로는 잘 보이지 않기에 운전자는 자연스럽게 창유리를 내릴 수 있습니다 . 특히나 담배를 피우는 애연가라면 아침에 차에 오르자마자 담배 한모금 길게 빨고는 담배 연기를 토해 내기위해 창유리를 내립니다 . 이때 예상치 못한 일이 벌어집니다 . 우지직 zzzzz~( 이 소리는 썬팅지가 벗겨지는 소리입니다 ) 창틀 가스켓과 썬팅된 유리가 함께 엉겨 얼어 붙어있던 상태에서 창유리를 바로 내려버리면 얼음으로 인해 썬팅지를강제로 잡아당겨져서 결국 썬팅된 하단 밑부분이 벗겨지게 됩니다 ! 장시간 운행을 한 다음 옥외에 주차를 한 경우라면 예열을 통해 실내온도를 높여 창틀의 결빙을 푼 다음 창유리를 내리는 것이 중요합니다 . l 겨울철엔 파노라마썬루프도 얼어 있다 요즘파노라마썬루프를 장착한 차량들이 많이 있습니다 . 파노라마썬루프는 통풍효과 , 채광과 개방감 , 스타일 때문에 많이 선택하는데 그런만큼 주의와 관심이 필요합니다 . 특히 겨울철엔 파노라마썬루프도 얼어있습니다 . 눈으로는 잘 식별이 안될 수 있기에 주의를 해야 합니다 . 차에 타자마자 바로 열거나 틸팅으로 작동을 하면 파손의 위험이 상당히 높습니다 . 차량의 실내온도를 높여 결빙이 다 풀린 상태에서 파썬 틸팅이나 개방을 하도록 합니다 . 겨울철 썬팅지 벗겨짐 방지를 위해서는 1) 주차를 위해 차에서 내리기 전에 창유리에 생긴 수분(물방울)을 에어컨을 작동시켜 밤새 얼지 않도록 건조시켜야 하며, 2) 아침에 창유리를 작동시키기 전에 히터를 작동시켜 차 내부온도를 일정기간 올린 후 창유리를 작동시켜야 합니다. 고객의 부주의로 창유리 작동과정에서 필름이 탈착되어 재시공시에는 본사 A/S 규정에 따라 시공비가 발생할 수 있습니다. 겨울철에는 기상변화가 많기 때문에 주행환경의 변화도 심합니다 . 그러기에 안전사고 예방에 주의를 기울여야 합니다 . 항상 예방하여 안전운전을 실천하는 것이 중요합니다 ."
32,★★★★,제품/시공관련,루마썬팅의 완벽한 자외선 차단으로 인하여 인체에 필요한 비타민D의 생성에 방해가 되는 것은 아닌지요?,"햇빛이 인체에 비타민D의 합성에 도움을 주는 것은 사실입니다. 비타민D는 피부에서 자외선(정확히 말하면 자외선B)이 복합체 ( 7-dehydrocholesterol:7-디하이드로 콜레스테롤) 와 반응할 때 생성됩니다. 자외선 합성에 가장 좋은 광선은 270~300 나노미터의 파장대를 가지고 있습니다. 이러한 파장대는 더 낮은 각도에서 자외선 수치가 3보다 크거나, 두터운 대기층에 의해 흡수되는 다량의 자외선으로 인하여, 태양의 위치가 수평선(해수면) 45도 이상일 때 나타납니다. 더 높은 고도에서는, 자외선을 흡수할 대기층이 희박합니다. 통상적으로 창유리는 매우 작은 양의 자외선B를 전 달하지만 300나노미터에서는 거의 전달되지 않습니다. 그러므로 비타민D의 생성에 있어서 창유리에 윈도우틴팅을 한다고 하여 비타민D에 필요한 자외선의 변화는 매우 미미할 따름입니다. 창유리를 통해 투과되는 많은 양의 자외선은 비타민D 생성에 관여하지 않는 파장대(320~380 나노미터)내에 있습니다. 비타민D 생성에 있어서 가장 좋은 방법은 매일 햇빛을 5~10분 정도 쪼이는 것이며 의사가 권장하는 비타민D가 풍부한 음식이나 비타민D 보충제를 섭취하는 것입니다. 인체의 비타민D 수치를 감소시키는 주요원인이 필름시공은 아니며, 오히려 필름 시공으로 인하여 인체에 유해한 과도한 자외선으로부터 피부와 시력을 보호하는데 큰 도움을 주는 역할을 합니다."
31,★★★★,제품/시공관련,집안내 세균을 살균하는 자외선을 루마필름이 99%이상 차단한다면 세균이 증식되는 결과를 가져오는 것은 아닌지요?,"자외선 A, B, C가운데 UVC(자외선 C)가 박테리아를 죽이는 것은 사실입니다. 사실 UVC 는 의료기기를 살균하고, 심지어 공조기 덕트내의 세균도 UVC 발생기에 의해 살균됩니다. 240~280 나노미터부터의 UVC 파장이 살균에 필요합니다. 그러나, 해수면에서 UVC 와 햇빛은 거의 관련이 없으며, 확실히 유리창을 통과하여 얻어질 수 없습니다. UVB(280~320 나노미터)와 UVA(320~380 나노미터)는 그들의 DNA를 파괴하기에는 파장이 너무 길므로 세균을 죽이지 않습니다. 그러므로, 창유리에 필름을 시공하는 것은 여러분 의 집에서 박테리아가 증식하는 결과를 가져오지 않을 것입니다."
30,★★★★★,제품/시공관련,열차단효과 과장광고의 허와 실,"태양에너지는 빛과 열의 형태로 가시광선, 자외선 그리고 적외선에 분포되어 있습니다. 이에 따라 태양열은 가시광선, 자외선, 적외선 영역에 각각 44%, 3% 그리고 53% 가 분포되어 있습니다. 썬팅필름은 열차단 물질의 종류에 따라 크게 메탈(금속성)필름과 세라믹(무기질) 제품으로 구분됩니다. 메탈은 태양열을 반사시키는 성질이 있으나, 하이패스, 아파트 출입구 센서등 주파수방식(RF리더기방식)으로 구동되는 자동차 수신기기에 영향을 주고 반사도가 증가하여 운전자가 필름을 통하여 외부를 볼 때 시인성(선명도)가 떨어지는 원인이 됩니다. 세라믹 필름은 열반사를 많이 시키는 메탈필름에 반하여 열을 흡수하는 성질을 갖고 있습니다. 열을 필름이 흡수하게 되면 일정시간후 일부의 열이 차량내부로 들어오는데 이것은 차량 내부의 에너지손실의 원인이 되기도 합니다. 간단히 말하자면 현재의 필름제조기술로는 열차단도 완벽하게 되고 시인성(선명도)도 좋은 제품을 만드는 것이 어렵습니다. 다시 말하자면 시인성을 최대한 확보한 상태에서 열차단을 가능한 끌어올린 제품이 뛰어난 필름이라고 할 수 있습니다. 그런데, 필름회사중 일부 업체들은 자사제품의 열차단효과를 지나치게 부풀려 홍보하는 행태를 보이고 있습니다. 우선 어떤 필름에 대해서 열차단율 90%니 심지어 99%니 광고하는 것은 명백하게 과장광고 입니다. 이들 업체들이 홍보하는 열차단율이란 사실은 적외선 차단율입니다. 그러나 적외선 영역대는 780~2,500 나노미터로 넓은 파장영역을 가지고 있는데, 이들 업체들은 전체 영역중 극히 일부분인, 900~1,000 나노미터의 매우 좁은 영역대의 적외선 차단율을 마치 전체적인 열차단율인 것처럼 홍보하고 있습니다. 이들 업체들이 소비자에게 보여주는 열차단 측정기계도 전체 적외선 영역대를 측정하는 것이 아닌 일부 영역대의 적외선 투과율(차단율)을 측정하는 것입니다. 그야말로 소비자에게 ""눈가리고 아웅""식의 과장광고를 하는 것입니다. 루마필름은 물론 IWFA(국제윈도우필름협회)같은 단체에서도 적외선 차단율을 공식적인 데이터로 활용하지 않고 있는 이유는 이것을 전체적인 평균 열차단율 이라고 할 수 없기 때문입니다. 루마필름과 국제윈도우필름협회에서는 TSER(Total Solar Energy Rejected : 총 태양에너지 차단율)을 공식적인 열차단율 데이터로 활용합니다. TSER은 가시광선, 자외선, 적외선의 태양에너지 세가지 영역의 열에너지 차단율에 필름이 흡수하는 태양열과 시간경과후 차량 내부로 유입되는 열손실율까지 계산한 공식데이터 입니다. 자동차필름중에서 TSER이 70%가 넘는 경우는 메탈을 대량으로 사용한 경우이고 이 경우 필름의 시인성은 떨어질 수 밖에 없습니다. 루마필름은 선명도(시인성)면에서 다른 어느 제품보다 뛰어나며 시인성과 TSER의 균형을 갖춘 다수의 제품들을 보유하고 있습니다. 특히 루마 버텍스필름은 초고선명도의 시인성으로 낮이든 밤이든 필름시공전보다 더 나은 시각적 편안함을 제공합니다. 소비자님들께서는 필름 선택시 열차단율에 대해 과장광고를 일삼는 업체의 제품의 선택으로 인한 피해를 방지하기 위해서 충분한 주의를 기울이시길 당부드립니다."
29,★★★★★,제품/시공관련,루마 컬러필름(그린/브라운) 무엇이 특별할까요?,"1) 레이밴이란 제품명에서도 알 수 있듯이 컬러필름은 유명 썬글라스 제조업체의 고급썬글라스 색상에 맞춰 제조되었으며, 운전하는데 있어서 그린 컬러와 브라운 컬러는 시각적으로 매우 편안한 느낌을 주므로 주행시 쾌적한 느낌을 제공합니 다. 2) 시각적으로 편안하면서도 일반 메탈급보다 열반사 지속율이 높아 TSER(총태양에너지차단율)에서 우수합니다.(제품소 개 참조) 3) 피부건강에 가장 유해한 태양자외선에 대해서는 고급 썬크림의 SPF(태양차단지수-최대 50)를 훨씬 뛰어넘는(2배이상) SPF지수 100을 보유함으로써 민감한 피부의 여성이나 아기를 운전 혹은 탑승하는 경우 피부보호에 보다 큰 효과를 누 릴 수 있습니다. (루마 컬러필름은 미국 피부암협회 권장상품입니다.) 4) 태양의 눈부심현상을 현저히 감소시켜(최대 90%) 안전운전및 쾌적운전을 극대화시켜 줍니다. 5) 그린 컬러는 모든 차종의 색상에 어울리며, 브라운 컬러는 흰색과 빨강색 차량에 시공하면 차량을 더욱 돋보이게 해 줍 니다."
28,★★★★★,제품/시공관련,시공후 진품과 가품(짝퉁필름)의 구별이 가능한지요?,"썬팅(윈도우틴팅)필름은 시공후엔 전문가도 식별하지 못할 정도로 진품과 짝퉁의 구별이 대단히 어렵습니다. 그 이유는 아래와 같습니다. 1. 짝퉁필름들은 루마필름의 색상을 벤치마킹하여 제조되기 때문에 시공된 후 육안으로 진품인지 짝퉁인지 구별이 매우 어렵습니다. 2. 불과 몇년전만 하더라도 필름을 벗긴 후, 접착제(본드) 냄새를 맡으면 짝퉁필름의 경우 매우 고약한 냄새가 나서, 이 냄새만으로도 구별이 되었지만, 현재는 짝퉁필름도 루마필름에서 적용하는 접착제와 거의 흡사한 접착제를 사용하므로 접착제 냄새로 구별하기도 사실상 불가능합니다. 썬팅은 단순한 상품판매가 아니라, 시공을 통하여 완성되는 상품인데 일부 수입업자및 유통업자들이 시공후엔 전문가들도 식별이 어렵다는 점을 악용하여 내용물은 짝퉁제품에, 박스만 교묘하게 위조하여 유통시키는 경우도 다수 있으며, 실제 이러한 업체가 적발되어 법적인 조치를 받은 적도 있는 바, 이러한 짝퉁필름이 근래에는 워낙 교묘하게 위조, 생산되므로 일반 소비자들이 진품인지 짝퉁인지 구별하기는 현실적으로 매우 어려우며 1년도 안 되어 탈색이 되거나 접착제가 변형되어 이지러짐 현상이 생기는 등 문제가 생긴 후에야 알게 되어 고스란히 소비자 피해로 돌아오는 경우가 급격히 증가하고 있는 추세입니다. 그러므로 짝퉁의 피해로부터 벗어나는 가장 확실한 방법은 루마 홈페이지에  등록된 루마 공식 시공점에서 정식제품으로 시공을 받으 시는 것임을 인지하여 주시길 바랍니다."
