No,중요도,질문분야,질문,본문
15,★★★★★,제품/시공관련,루마 신제품 버텍스(Vertex) 무엇이 다를까요?,"지난 1960년대말 미항공우주국 나사(NASA)의 우주선 개발과정으로부터 탄생한 루마 버텍스는 최상의 시인성(선명도)와 동급 최강의 열차단력을 겸비한 썬팅필름의 마스터피스(Masterpiece)입니다. 버텍스는 정밀 현미경 수준의 헤이즈(선명도 단위)를 구현하며 시각적으로 편안한 네오차콜 컬러로 눈부심을 현저히 줄이는 탁월한 시야 개선효과로 운전시 안락한 휴식공간에 있는 듯한 편안함을 제공해 드립니 다. 시중의 다른 제품들이 초기 열차단력을 강화시키는 과정에서 필름구조를 과다한 다층구조로 가거나 열차단물질을 과도하게 분사하다보니 썬팅필름의 중요한 요소인 시인성(차량 내부에서 밖을 볼때의 선명도)이 떨어지는데 반해, 루마 버텍스는 70% 상당의 TSER(태양에너지 차단 력)을 갖추고 있으면서도 다른 썬팅필름을 압도하는 뛰어난 선명도를 구현합니다. 또한 열차단력을 강조하는 저급제품들은 초기 열차단력이 오래 가지 못하는 분사방식(필름면에 용액을 뿌리는 방식)인데 비해 루마 버텍스를 비롯한 라티튜드, 씨러스, 아티젠등 루마의 제품들은 정확한 합지방식(자외선 차단막등 6~7겹의 다층구조가 각각의 독립적인 기능을 하면서 내구성을 높이는 방식)으로 초기성능이 보증기간동안 보존됨으로써 전 세계 소비자들로부터 신뢰와 사랑을 받고 있는 것입니다. 현재 썬팅시장에는 루마필름의 인기에 편승하여 짝퉁필름을 위시한 병행품이 범람하고 있는 바, 루마 버텍스는 루마필름의 제조원인 미국 씨피필름즈사에서 국내 로펌 1위인 김앤장 법률회사를 통하여   대한민국 특허청에 정식으로 상표등록한 상품명이므로 이제 더이상 소비자들께서는 병행필름으로 인한 피해를 두려워하실 필요가 없습니다. 남성들이 필드에 골프라운딩할 때 자외선을 피하기 위해 썬크림을 바르듯이, 여성들이 외출시에 피부보호를 위해 화장을 하듯이, 이젠 루마 버텍스 하나면 귀하의 차안 피부걱정은 눈녹듯이 사라집니다. 왜 썬팅을 하느냐고 물으신다면~??? 정답은 하나, 자외선과 태양열로부터 당신을 보호하기 위해 루마 버텍스 ! 정답은 하나, 뛰어난 선명도와 눈부심 감소효과로 안전운전을 보장받기 위해 루마 버텍스 !! 정답은 하나, 당신의 프라이드를 한 차원 높이기 위해 루마 버텍스 !!!"
14,★★★★★,제품/시공관련,루마제품이 다른 제품과 차별화되는 이유는 무엇입니까?,"1. 브랜드가 가공된 업체인지 확인하십시오. 현재 국내 시장에 브랜드를 걸고 영업하는 필름업체는 루마를 비롯하여 30여개 정도 있습니다. 그러나 대부분이 원 생산업체가 아닌, 자체 브랜드를 만들어서 영업하고 있는 업체들입니다. 자체 브랜드인지 아닌지 알 수 있는 방법은 해당업체의 홈페이지를 확인하여 실제로 필름을 생산하는 업체인지를 확인하는 것입니다. 해당업체의 홈페이지에 생산공장에 대한 설명이 안 나와있다면 다른 원 생산 업체로부터 제품을 받아서 자체 브랜드를 만들어 판매하는 업체입니다. 2. 브랜드가 가공된 업체의 문제점은 여러 메이커의 제품을 모아다가 자기 브랜드화했기 때문에 제품의 품질이 균일하지 않다는 것입니다. 또한, 루마등 유명브랜드의 병행수입품을 도입하여 다른 제품으로 둔갑할 가능성이 높다는 것입니다. 3. 특히 가공 브랜드 업체들은 수입산과 국산제품을 교묘하게 섞어 자기 브랜드화하기 때문에 시공되는 제품이 국산인지 수입산인지 소비자가 정확한 원산지 파악이 어렵습니다. 4. 유명 브랜드나 혹은 신생브랜드중에서도 원산지를 속이는 사례가 많습니다. 예를 들면 미국에서 생산되는 제품인데도 독일산이라고 고객을 속이는 사례가 있는가 하면 국산제품을 마치 수입품인양 고객을 호도하는 사례도 빈번하게 발생하고 있습니다. 이러한 사례에 대한 대처법은 소비자가 시공할 해당제품에 대한 정확한 메이커를 확인하는 것입니다. 우리가 식품을 선택할 때 중국산을 기피하듯이, 썬팅필름 또한 원산지 그리고 생산메이커의 확인은 대단히 중요한 것입니다. 5. 통상 브랜드 인지도가 없는 업체들은 과도하게 열차단율을 소비자 홍보로 앞세우는데, 열차단율은 정확한 의미에서 TSER(Total Solar Energy Rejected % 총태양에너지차단율) 이 맞는 개념이며, TSER은 규격화된 실험치와 이 실험데이터를 토대로 로렌스공식이라는 컴퓨터 프로그램에 대입하여 얻어지는 수치로써, 시간에 따른 태양열 내부입사로 인한 온도손실치까지 계산된 개념입니다. 보통 자사 제품이 열차단율 80%니 90%니 심지어 99%니 하는 홍보는 명백한 소비자 기만행위입니다. 루마 버텍스를 비롯하여 합지방식(필름염료층,접착제층, 자외선 차단막, 적외선 차단막등 각각의 필름막이 합쳐져서 제조되는 공정)으 로 정확하게 생산되는 필름은 각각의 차단막이 독립적인 역할을 하며 내구성이 오래 유지되는 반면에 분사방식(필름면 에 열차단 물 질을 분사하는 방식으로 내구성이 1년이상 유지되기가 어려움)의 제품이 다수인 저급제품들은 분사된 열차단물질 로 인하여 당장엔 열차단이 높은 듯 하지만, 이러한 기능은 1년이 가기 전에 사라진다는 점입니다. 이러한 부실한 내구성에 대해서 일부업체들이 소비자에게 함구하기 때문에 상세한 내용을 모르는 소비자들만 피해를 입게 됨을 유념하시길 바랍니다. 6. 또한 그러한 업체들이 열차단 필름이라고 내세우는 제품의 열차단물질은 열을 흡수하는 성질이 강하여 시간이 지나면 필름이 품고 있던 열이 차 내부로 유입되어 내부온도가 높아지게 됩니다. TSER은 이러한 시간에 따른 내부 열유입량이 포함된 수치이고, 몰상식 한 필름업체들이 내세우는 열차단율이란 다름아닌 순간IR(적외선)차단율로 IWFA(국제윈도우필름협회)등 국제필름유관단체에서는 인정받지 못하는 데이터인 것입니다. 7. 어떤 업체는 인터넷에 루마의 보급형 제품과 자사의 최고사양 제품을 비교하여 자사제품이 상대적으로 품질이 좋은 것처럼 선전을 하기도 합니다. 자사에서 만든 측정기를 사용하여 열차단이 높다고 홍보하는데 실상은 열차단측정기가 아닌 IR측정기이며, 이마저도 780~2,500 나노미터의 자외선 전체영역대가 아닌, 950~1,000나노미터의 좁은 영역대에서 측정한 값을 사용합니다. 8. 필름의 성능치만큼이나 중요한 것은 초기성능을 오래 유지할 수 있는 내구성입니다. 모든 루마필름은 미국의 루마필름 버지니 아주 마틴스빌 공장에서 600시간 제논 내구성테스트를 통과한 제품만을 수입/판매하고 있습니다. 600시간 제논 내구성테스트란 실험실에서 필름에 600시간동안 제논광선을 조사하여 변색여부를 테스트하는 것으로써, 이는 아리조나 사막기후에서의 3.5개월동안 외 부에서 태양광을 조사한 것과 동일한 조건 입니다. 이러한 검증된 내구성 테스트를 거치는 필름 제조업체는 극소수에 불과합니다. 루마필름은 초기성능뿐만 아니라, 보증기간동안의 성능유지에도 전세계 소비자들로부터 신뢰를 구축하고 있습니다."
13,★★★★★,제품/시공관련,루마필름을 신뢰할 수 있는 가장 큰 이유는 무엇입니까?,"지난 20년간 이미 6백만명이 넘는 고객께서 루마필름을 경험하신 후 루마필름의 가치를 인정해 주셨으며, 오늘도 입에서 입으로 루마필름의 가치가 전달되어지고 있습니다! 저희 루마코리아는 20년의 세월동안 오직 필름 제조원인 미국 솔루시아社로부터 루마제품만을수입/판매하여 왔습니다. 일반적인 현실에서 썬팅필름 업체들이 복수의 메이커를 취급하는 이유는 소비자를 폭넓게 끌어들일 수 있어서 업체의 매출과 수익성면에서 매우 유리한 것이 사실이기 때문입니다. 그러나 루마코리아는 고객에게 제대로된 서비스를 하기 위해서는 무엇보다 제품수급이 원활해야 하며 복수의 메이커를 판매할 경우 시공점에서의 정품인증과 제품 혼용 가능성등으로 인하여 소비자에게 피해를 드릴 수 있기 때문에 신뢰성과 고객서비스 차원에서 매출의 한계성등 현실적인 어려움에도 불구하고 루마필름이라는 단일제품만을 고객에게 서비스해 온 것입니다. 또한 루마코리아는 유명 브랜드의 지위를 이용하여 저가제품에 브랜드를 사용하는 이른바 OEM(주문자 생산방식)이 아닌 미국 제조원인 솔루시아의 유일한 솔라필름 제조공장인 버지니아 공장에서 직수입된 제품만을 루마 공식시공점에 공급하고 있습니다. 현재 저희 루마코리아가 판매하는 모든 썬팅필름은 전량 미국 제조공장으로부터 직수입되고 있음을 알려 드립니다. 여기에 루마코리아는 현재 루마시공점의 기술체계와 서비스를 혁신하기 위하여 매주 기술표준화 교육 실시, 시공점별 평가제도를 통한 마스터샵 인증제등을 시행하고 있으며, 세계최초 QR코드 인증제및 다양한 제도및 시스템을 도입하여 대고객서비스의 질 적 향상을 위해 끊임없이 노력하고  있습니다. 앞으로도 저희 루마코리아는 정도만을 고집하여 고객에게 더욱 신뢰받을 수 있도록 최선을 다하겠습니다."
12,★★★★★,제품/시공관련,썬팅필름을 선택할 때 브랜드에 대한 검색이 중요한 이유는 무엇입니까?,"저희 루마필름은 우주선 개발의 역사와 궤를 같이하여 왔다고 과언이 아닐 정도로우주공간에서 우주선의 외체(外體)를 보호하기 위한 첨단 신소재 개발의 붐이 일어난 1960년대부터 제품개발이 시작되어 70여년의 역사와 제품에 대한 기술노하우를 가지고 있으며, 이를 바탕으로 이미 오래전부터 전세계 MS(Market Share)의 50% 이상을 점유할 정도로 세계적으로 그 품질을 인정받고 있습니다. ""루마""라는 썬팅필름의 브랜드는 단시간내에 생긴 것이 아니라 오랜 시간동안의 연구와 개발,생산및 시공에 이르기까지 그 모든 과정과 제품의 품질이 고객들로부터 인정받아서 지금의위치에 오른 것입니다. 그런데 국내에서 일어난 최근 수년간의 썬팅시장의 활성화에 편승하여 시장에 뛰어든 몇몇 썬팅업체는급조된 브랜드를 가지고 인터넷상등에서 포장을 하여 마치 자사가 취급하는 제품이 세계적으로 인정받는제품인양 광고를 하지만 사실은 제조원의 실체가 없는 경우가 허다합니다. 이는 간단하게 검색을 할 수 있는데, 예를 들어 저희 루마코리아의 도메인 주소는 www.llumar.co.kr이며미국 제조원의 홈페이지 주소는 www.llumar.com입니다.마찬가지로 제조원이 있는 업체라면 글로벌 주소인 닷컴(.com)을 주소창에 치면 제조원의 홈페이지가나타나야 하는 것이 맞으나 이러한 제조원이 없는 경우는 전혀 다른 업체의 홈페이지가 나타나거나아예 홈페이지가 없는 경우도 많습니다. 또 한가지 제조원이 중요한 이유는 제조원이 불분명한 업체들의 경우, 한 가지 메이커의 제품을 취급하는 것이아니라, 여러가지의 제품을 취급하다보니 제품 수급및 혼용이 이루어질 가능성이 높다는 것입니다.이를테면 A, B, C, D등 복수의 제품을 취급하게 되면 해당 브랜드에 대한 정품확인도 어려우며 제품 혼용에대한 확인도 어려운 것이 현실입니다. 그것은 썬팅필름은 시공을 하고나면 십수년된 전문가들도 시공후에는 정품 확인이 어렵기 때문이며 이러한 이유로 대다수의 필름업체들이 - 품질이 떨어지는 저급제품을 생산하는 회사일 경우에도 - 특정 업체의 필름색상을 모방하여 제품을 생산하기 때문에 창유리에 시공된 필름 혹은 필름색상만 보고서는 소비자는 물론필름 전문가들도 식별이 어렵다는 것입니다. 그러므로 썬팅필름 선택시 인터넷들을 통한 해당 브랜드및 제조원의 실체 여부의 점검이 매우 중요하며이를 소홀히 했을 경우 추후 소비자의 피해로 돌아오는 경우가 많기 때문에 이를 숙지하시어 브랜드및 제조원점검에 관심을 기울이시길 바랍니다."
11,★★★,제품/시공관련,시공후 창문에 로고가 없는 것은 어떠한 경우에 발생하나요?,"루마 공식 시공점에서 정품으로 시공했음에도 불구하고 창문에 로고가 없는 경우는 다음과 같습니다. 1. 현재 출고되는 자동차의 유리는 차의 외관을 위하여 전보다 작아지는 추세인데 필름면에 프린팅되는 로고는 필름롤의 좌우측 35cm 지점에 두 줄로 인쇄되므로 필름 재단을 위해 패턴(창유리 크기에 맞게 만들어진 플라스틱이나 철판모형)의 위치에 따라 로고와 로고 사이에 들어갈 경우 로고가 들어가지 않을 수 있습니다. 2. 프린팅 기계는 구조상 필름롤의 처음과 끝의 일정부분이 프린팅되지 않습니다. 이처럼 프린팅되지 않은 처음과 끝부분에서 재단이 되면 로고가 들어가지 않을 수 있 습니다. 3. 로고는 정품확인을 위한 보조수단이며 우리나라외에는 필름에 로고 프린팅을 하는 경우가 거의 없습니다. 프린팅은 제품이 완성된 단계에서 리와인딩(되감기)되어 이루어지므로 공급자 측면에서 필름 손실이 발생할 수 있기 때문이며 대부분의 소비자들은 루마의 공식 시공점에서 시공을 하면 당연히 정품으로 시공한 것으로 인정하기 때문입니다. 그러므로 시공후 전체 창유리에 로고가 단 한 개도 없을 경우에는 본사를 통하여 확인하시는 것이 바람직하지만 운전석/조수석등 1열과 2열 등 측면유리에서 1~2장 정도 위와 같은 이유로 로고가 없을 수도 있으니 양지하여 주시길 바랍니다. 4. 루마 공식시공점에서 시공하신 후 수기(手記)가 아닌, 컴퓨터로 출력된 전자 품질보증서를 받으셨다면 정품시공으로 인증받은 것이며 시공에 관련된 모든 데이터들은 본사의 DB(데이터베이스)에 저장되어 관리 됩니다."
10,★★★★,보증관련,시공후 루마필름을 시공하고 보증서를 받았는데 루마보증서가 아닌 것 같아요. 이런 경우 보증이 되나요 ?,"저희 루마 공식시공점에서 시공하신 후 컴퓨터로 출력되는 공식 품질보증서를 발급받으셨을 경우보증이 되지만, 유사시공업체에 의하여 시공된 경우, 제품보증이 되지 않습니다.저희 홈페이지의 공지사항에 보시면 루마 유사시공업체에 의한 소비자 피해를 피하는 방법에 대해서 자세한 설명이 되어 있습니다. 참고하시길 바랍니다."
9,★★★★,AS관련,제품을 시공하였는데 루마 공식시공점에서 한 것은 아닌 듯 합니다. 시공후 문제가 생긴 경우 a/s 처리는 가능한지요 ?,"루마코리아는 루마필름의 제조원인 씨피필름즈(모기업:이스트만그룹의 자회사 솔루시아)의 버지니아 공장에서 루마제품을 직수입하는 국내 유일한 공식공급업체입니다. 솔루시아의 보증정책상 제품시공에 대한 a/s 처리는 솔루시아에서 인증한 공식 공급업체 혹은 공식시공점에서 시공시에만 가 능하며, 루마의 공식시공점들은 솔루시아의공식 공급업체인 루마 코리아에 의하여 인증을 받은 곳으로써 루마필름 제조원인 솔루시아에 의하여 정품보증및 추후 a/s 처리가 가능합니다. 솔루시아에서 이러한 정책을 유지하는 이유는 자동차틴팅,즉 썬팅이 단지 썬팅필름이라는 상품만 판매하는 것이 아닌, 시공기술이 플러스되어야 하기 때문이며 루마코리아에서 인증된 루마 공식시공점들은 소정의 기술교육을 거쳤으며, 시공후 소비자에 의한 불만제기 시엔 솔루시아 및 루마코리아에 의해 제품보증과 a/s 처리가 이루어집니다. 이러한 점에서 자체적으로 보증을 실시하는 유사 시공업체들과는 현격한 차이가 있습니다. 결론적으로 말씀드리면 해외의 제3자로부터 수입한 루마의 유사 시공업체들에 시공된 제품은 위와 같은 이유로 인하여 루마코리아 및 공식시공점에 의한 정품보증 및 a/s가 이루어 지지 않음을 알려드립니다."
8,★★★★,제품/시공관련,"타인의 소개로 루마필름을 시공하였는데, 보증서와 로고가 다릅니다. 어떤 제품인지 알 수 있을까요?","병행수입의 경우 1995년부터 발효된 관련법이 있기 때문에 해외의 제3자로부터 제품을 수입하는 것이 불법은 아니며 실제 일부 수입업자에 의하여 소량으로 루마의 일부 제품이 수입되고 있습니다. 그런데 문제는 병행품을 취급하는 업체들이 루마만을 취급하는 것이 아니라 여러 메이커의 제품, 심지어 품질이 검증 안된 제품들까지 함께 취급하는 업체들이 있다보니 시공된 루마제품에 대한 정품확인이 쉽지 않고 다른 제품으로 시공되어졌을 경우 고스란히 소비자의 피해로 돌아갈 가능성이 높습니다. 이는 썬팅필름의 특성상 한 번 창유리에 시공이 되면 필름 전문가라 할지라도 정품식별이 어려운데최근의 제품들이 블랙에 기초한 컬러로 통일되다시피 하여 이미 시공된 필름의 컬러만 보고 어떤 제품이라고 판별하기가 사실상 어렵다는 것입니다. 또한, 최근들어 급속히 증가한 루마 유사시공업체들은 가격파괴를 앞세워 소비자들을 유혹하는데 썬팅에 기반을 둔 업체가 아닌, 오디오, 네비게이션, 외장관리등을 해왔던 업체들의 경우썬팅 시공능력이 현저히 떨어지는 경우가 많습니다. 그리고 a/s를 받으려고 해도 물량공급이 원활하게 안되어 제때 a/s를 받을 수 없는등 많은 문제점을 안고 있는 것이 사실입니다. 소셜커머스등 인터넷에서 활동하는 병행취급점의 경우도 예외는 아니어서 다년간의 시공경험등업체 내용을 잘 포장하고 저가 시공비로 소비자들을 유혹하고 있는데 이러한 업체들로부터 피해를 입지 않으시려면 다음과 같은 내용을 잘 숙지하신후 시공을 받으시길 바랍니다. 1. 루마필름의 유일한 공식공급업체인 저희 본사 홈페이지에 등록된 가까운 지역의 공식 루마시공점을 확인하신 후 2. 시공후 반드시 컴퓨터로 출력되는 품질 보증서를 발급받으시길 바랍니다. 3. 로고의 경우 정품 확인을 위한 보조수단이며 현재 국내엔 로고프린팅을 하는 업체들이 다수 있기 때문에 로고만으로 정품식별은 사실상 소비자 입장에서 어렵습니다. 4. 가급적 제3자에게 시공을 맡기지 마시고 직접 루마시공점을 내방하여 시공하시거나 부득이하게 직접방문이 어려운 경우 위의 내용처럼 시공점 확인에 유의하시길 바랍니다."
7,★★★,제품/시공관련,추운 겨울철에 주의해야 할 점은 없나요 ?,"추운 겨울철에는 히터를 작동시키는 차 내부와 온도가 낮은 외부와의 온도차이로 인하여썬팅시공을 한 필름 아랫면(몰딩 아래에 위치하여 보이지 않는 부분)에 습기가 차게 됩니다. 습기가 찬 상태에서 밤에 시동을 끈 후 주차시키면 차내부의 온도가 떨어지므로 필름 아랫면(몰딩에 들어가 있는 부분)이 얼어 붙어 있는 상태가 됩니다. 그런데 아침에 다시 차에 타서 무심코 운전석 혹은 조수석 창유리를 작동시키면 필름의 아랫면이 뜯어지는 경우가 발생할 수 있습니다. 이런 현상은 특히 스키장 같이 상대적으로 외부 온도가 낮은 장소에 다녀온 차량에서 종종 발생하는데, 이런 경우엔 아침에 차에 탔을 때 윈도우 스위치를 작동시키기 전에 히터를 켜서 실내온도를 어느 정도높인 후 윈도우 스위치를 작동시키시는 것이 바람직합니다. (예를 들어 스키를 타고 땀이 많이 배출되고 체온이 올라간 상태에서 차량에 탑승하면 수증기가 발생하면서 차량 유리창 내부에 적지 않은 수분이 물방울 형태로 맺히는데, 차량에서 내리기 전에 부드러운 청소용 융으로 유리면을 닦아주시면 이러한 현상을 미리 방지하는데 도움이 됩니다.) 대개의 경우 운전석, 조수석등에서 이런 현상이 발생하는데 동절기에 필름이 탈착된 경우(떨어진 경우),해당 시공점에 내용을 알리신 후 상담하여 주시길 바랍니다."
6,★★★,제품/시공관련,유리창 청소시 필름은 어떤 방법으로 닦아야 하나요 ?,필름 원단은 폴리에스테르이기 때문에 화학성분이 함유된 윈덱스등의 유리창 세정제를 사용할 경우필름 손상의 원인이 될 수 있으며 고형물질이 함유된 청소용제의 경우에도 필름이 손상될 수 있으므로주의를 요합니다. 필름면을 닦으실 때는 부드러운 천을 물에 적신 후 힘을 주지 말고 가볍게 닦아주시길 바랍니다. 필름에 기름성분이 묻었을 경우에는 희석된 비눗물을 부드러운 천에 묻혀서 마찬가지로 가볍게닦아주시면 됩니다.
5,★★,제품/시공관련,운전석쪽의 로고가 신경 쓰여서 지우고 싶은데 방법을 알려주세요.,필름에 프린팅된 로고를 지우는 방법은 아세톤을 부드러운 천에 살짝 묻혀서문질러 주시거나 물파스로 톡톡 부드럽게 문지른 후 부드러운 천으로 가볍게 닦아내시면 필름 손상없이 간단하게 지워집니다.
4,★★★,제품/시공관련,거주하는 아파트 출입구에 RF형 카드리더기가 설치되어 있는데 어떤 필름으로 시공해야 합니까 ?,"아파트 출입구에 있는 차량 인식기는 두 가지 종류로 하나는 RF형 카드리더기이고 다른 하나는번호판 인식 카메라입니다. 번호판 인식 카메라는 어떤 종류의 필름과도 무관하지만 RF형 카드 리더기는하이패스와 마찬가지로 주파수 송수신타입이므로 메탈계 필름에 의해 영향을 받을 수 있습니다.따라서 아파트 출입구에 RF형 카드리더기가 설치되어 있는 경우에는 윈쿨, 피너쿨, 헬리오스등의 非 메탈계 필름으로 시공하실 것을 권해 드립니다. 룸미러 뒤편등에 센서부를 설치할 수 있다면 필름과 송수신기 사이에 필름이 위치하지 않는 형태이므로 수신장애가 일어나지 않습니다. 이 경우 시공전에 센서부의 룸미러 위치조정 가능여부를 해당 시공점과상의하시길 바랍니다."
3,★★★,제품/시공관련,전면유리에 루마스타(아티젠)를 시공한 유저입니다. 하이패스를 어떤 타입으로 구입해야 하나요 ?,"하이패스에는 RF형(주파수 송수신 방식)과 IR형(적외선 송수신 방식)의 두 가지 타입이 있습니다. 이론적으로 주파수의 경우 메탈(금속)에 의하여 영향을 받으므로 루마스타나 레이밴의 경우 RF형 하이패스 장착시 일부 수신장애가 일어날 수 있습니다. 동일한 기종이라도 수신장애가 일어나지 않는 경우도 있는데 이는 하이패스 기기가 세팅값에 따른것입니다. 즉, 기기가 발신기에서 나오는 주파수값을 받아들이는 폭이 넓을 경우 전면유리에메탈계 필름이 시공되어 있더라도 수신장애가 일어나지 않는 것입니다.실제로 일부 기종의 경우 하이패스 장착점에 문의하여 세팅값을 올려서 수신장애 문제를 해결하는경우도 있습니다. 그러나 이미 RF형 하이패스가 차량에 장착되어 있는 경우에는 윈쿨, 피너쿨등과 같은非 메탈계 제품으로 시공하시는 것을 권합니다. IR형 하이패스의 경우에는 대부분 루마필름에서 수신장애가 발생한 사례가 없습니다. 다만 열적외선 차단이 매우 강한 제품의 경우 일부 IR형 하이패스에서 수신장애가 일어날 수 있으므로 이 경우에는 시공점과 상담하시어 RF형 하이패스를 장착하시거나 루마 전용 하이패스인 AP-100 모델을 장착하실 것을 권해드립니다."
2,★★★,제품/시공관련,선팅 시공후 터널 통과시에 물결치는 현상이 나타나는데 원인이 무엇인지요 ?,"모든 브랜드의 메탈계열 필름 시공후 일부 터널 통과시에 나타나는 커튼현상(무아레)은 조명 종류에 따라 다르게 나타납니다. 백색등 점등 터널은 아주 미세하게 나타나지만 파장이 긴 황색등 점등터널(주로 구형 터널)에서 더 심하게 나타납니다. 터널에 들어가면 나타나는 커튼현상은 메탈(금속)이 함유된 필름에서 보다 두드러져보입니다. 루마썬팅필름 중에 열차단을 위하여 금속막이 증착된 제품이 있으며 윈도우필름표면에는 스크래치방지를 위한 특수 투명코팅막으로 형성되어 있습니다. 초박막으로 된 이 특수코팅막이 일종의 유막처럼 보여서 조명아래에서 물결무늬처럼금속막에 비쳐 보여지게 되는 것입니다. 필름에 이 특수코팅이 되어있지 않다면 자동차유리에는 부착조차 할 수 없을 정도로 심한 스크래치가 보여질 것입니다. 터널진입시 시선을 차유리표면에 두지 마시고 원거리 즉, 유리건너편의 먼 곳에 시선을위치하면 이러한 현상이 현저하게 줄어들어 보일 것입니다. 필름이상이나 시공이 잘못되어서 이러한 현상이 나타나는 것은 아님을 양지해 주시길 바랍니다. 터널이 많은 지역에서 차량을 운전하는 경우 버텍스 700, 900, 1100 등 ITO(무기물질)가 함유된 나노세라믹 계열의 필름으로 시공하시는 것을 권장해 드립니다."
1,★★★★,제품/시공관련,루마지정점에서 시공했는데 루마로고가 없습니다. 정품확인은 어떻게 하나요?,"루마정품확인은 필름에 표시된 로고만을 가지고 확인하지는 않습니다. 루마정품은 루마지정점에서의 시공여부가 첫번째 확인요소입니다. 루마지정점에서 시공하셨습니까? 그렇다면 첫 번째 중요한 첵크포인트를 확인하셨습니다. 루마지정점은 루마본사의 엄격한 기준을 통과한 지정업체로서 루마고객을 기만하거나 유사품을 사용하여 고객에게 피해를 입힌 경우 계약위반사례에 해당되어 위약금을 물게 되어있습니다. 또한 루마지정점의 자격이 동시에 박탈됩니다. 루마에서는 이런 엄격한 조항과 관리로 유사품사용방지를 통해 고객보호 및 고객피해예방에 앞장서고 있습니다. 다음은 루마지정점에서의 시공과 함께 보증서를 발급받으셨습니까? 루마보증서 발급을 위해서는 루마필름의 정확한 제품이력과 내용을 입력하게 되어 있습니다. 루마본사에서 출고된 제품과 상이한 내용이 입력되면 루마의 보증시스템의 거부로 보증서발급 자체가 불허됩니다. 보증서를 받으셨다면 이제 안심하셔도 좋습니다. 마지막으로 로고입니다. 로고는 보조적인 확인 수단일 뿐 위의 두 가지 조건 즉, 루마지정점에서의 시공과 보증서 발급을 무시한 채 로고만으로 정품확인 여부를 할 수 없습니다. 로고만으로 정품확인을 하려면 굳이 루마지정점을 개설하고 전문시공점에만 제품을 공급할 이유가 없습니다. 루마에서 루마지정점을 운영하는 것은 유사품을 방지하고 정품만을 취급하기위해 루마전문 지정점을 운영하는 것입니다. 로고는 루마필름과 같은 전문취급점 시스템이 없거나 보증서발급이 되지않는 제품 확인을 위해 주로 사용하는 방법입니다. 결론적으로 루마정품확인은 루마지정점에서의 시공과 보증서발급이 가장 중요한 정품확인 포인트입니다. 참고로 로고는 차유리모형틀을 가지고 필름을 재단할 때 어느위치에 두느냐에 따라 창유리에 표시될 수 있고, 그렇지 않을 수 있습니다. 로고는 또한 모든 창마다 다 표시할 수 없습니다. 모든 창마다 표시가 들어가도록 할려면 그만큼 불필요한 재료비가 들어가서 비용이 많이 추가 됩니다.썬팅에서의 로고는 시야에 거슬리는 부분에 표시되면 지워야 하는 경우도 있습니다. 대다수의 고객은 지워달라고 요구하시기도 합니다."
